id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type
base-153496281,DIY 木材 無垢 クラフト材｜クルミ オニグルミ 鬼胡桃 ウォールナット 790mm×310mm×29mm,クルミ オニグルミ 鬼胡桃 ウォールナットの一枚板 790mm×310mm×29mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496281?utm_source=pinterest&utm_medium=catalog&utm_campaign=diy,https://base-ec2.akamaized.net/images/item/origin/f7aa34ce4fdecdc62ada24b79be0a604.jpg,5120 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,DIY・クラフト材
base-153496314,棚板 カウンター材 無垢 一枚板｜サクラ ヤマザクラ 山桜 チェリー 1200mm×240~298mm×38mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 1200mm×240~298mm×38mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496314?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/932cd0ff85a6d5fcfde8d9e73c1b866c.jpg,7220 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153496360,一枚板 テーブル天板 無垢材｜ケヤキ 欅 1500mm×325~380mm×33mm,ケヤキ 欅の一枚板 1500mm×325~380mm×33mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496360?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/3f856536b2230e54978b0e689dc2085f.jpg,10980 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153496415,棚板 カウンター材 無垢 一枚板｜クリ 栗 チェスナット 1500mm×250~295mm×23mm,クリ 栗 チェスナットの一枚板 1500mm×250~295mm×23mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496415?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/58747b31b1f19bb90402e3474e995d6c.jpg,8560 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153496461,一枚板 テーブル天板 無垢材｜クルミ オニグルミ 鬼胡桃 ウォールナット 1000mm×430~464mm×51mm,クルミ オニグルミ 鬼胡桃 ウォールナットの一枚板 1000mm×430~464mm×51mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496461?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/f3c6c79df41001e4e5606e89cf8c19e1.jpg,13700 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
base-153496563,まな板 木製 一枚板｜イタヤカエデ 板谷楓 メープル 600mm×260~315mm×19mm,イタヤカエデ 板谷楓 メープルの一枚板 600mm×260~315mm×19mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496563?utm_source=pinterest&utm_medium=catalog&utm_campaign=manaita,https://base-ec2.akamaized.net/images/item/origin/5caffdd9c82efedfb73da83bc7b47297.jpg,3970 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,まな板材
base-153496609,まな板 木製 一枚板｜サクラ ヤマザクラ 山桜 チェリー 500mm×440~470mm×52mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 500mm×440~470mm×52mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496609?utm_source=pinterest&utm_medium=catalog&utm_campaign=manaita,https://base-ec2.akamaized.net/images/item/origin/7e5934af88efee09e41d090231cf7a0d.jpg,6300 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,まな板材
base-153496646,まな板 木製 一枚板｜マカバ カバ バーチ 385mm×485~570mm×33mm,マカバ カバ バーチの一枚板 385mm×485~570mm×33mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496646?utm_source=pinterest&utm_medium=catalog&utm_campaign=manaita,https://base-ec2.akamaized.net/images/item/origin/382a96bc516ae643bebb5c8fe0ef816a.jpg,4890 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,まな板材
base-153496685,棚板 カウンター材 無垢 一枚板｜クルミ オニグルミ 鬼胡桃 ウォールナット 800mm×250~260mm×33mm,クルミ オニグルミ 鬼胡桃 ウォールナットの一枚板 800mm×250~260mm×33mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496685?utm_source=pinterest&utm_medium=catalog&utm_campaign=shelf,https://base-ec2.akamaized.net/images/item/origin/ca5f17605bac48e2869cfad1246e15e9.jpg,4800 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,棚板・カウンター材
base-153496726,一枚板 テーブル天板 無垢材｜サクラ ヤマザクラ 山桜 チェリー 950mm×307mm×31mm,サクラ ヤマザクラ 山桜 チェリーの一枚板 950mm×307mm×31mm。新潟の山から自社で伐採・製材・乾燥した天然木を直販。ご希望サイズへの1カット無料・厚み調整無料。写真の現物1点をお届けします。,https://junshin.base.ec/items/153496726?utm_source=pinterest&utm_medium=catalog&utm_campaign=table,https://base-ec2.akamaized.net/images/item/origin/d1cd8f93863ce8cb697ac3cb03ba40a4.jpg,6310 JPY,in stock,new,Junshin -潤森-,Hardware > Building Materials > Lumber & Sheet Stock,一枚板テーブル天板
